seqnames	start	end	width	strand	inv
chr12	54910862	55035209	124348	*	0
chr12	55035210	55340644	305435	*	1
chr12	59786003	59786155	153	*	1
chr12	58438612	58447748	9137	*	1
chr12	57591170	57615088	23919	*	1
chr12	56840523	56879823	39301	*	0
chr12	56879824	56884464	4641	*	0
chr12	56212297	56525586	313290	*	0
chr12	54741314	54910861	169548	*	0
chr12	58421793	58438611	16819	*	0
chr12	56607280	56840522	233243	*	0
chr12	57800011	57827936	27926	*	0
chr12	59497001	59786002	289002	*	0
chr12	57382819	57591169	208351	*	1
chr12	57827937	58421792	593856	*	0
chr12	54488888	54685053	196166	*	0
