seqnames	start	end	width	strand	hgnc_symbol
chr12	58118980	58135940	16961	*	AGAP2
chr12	58131796	58143994	12199	*	TSPAN31
chr12	58141510	58149796	8287	*	CDK4
chr12	58148881	58154190	5310	*	MARCH9
chr12	58156117	58162769	6653	*	CYP27B1
chr12	58162254	58166576	4323	*	METTL1
chr12	58176372	58201854	25483	*	TSFM
chr12	58191159	58212487	21329	*	AVIL
chr12	58213710	58240522	26813	*	CTDSP2
chr12	58335324	58351052	15729	*	XRCC6BP1
chr12	69201956	69239214	37259	*	MDM2
chr12	69235977	69365350	129374	*	CPM
chr12	69633317	69668138	34822	*	CPSF6
chr12	69742121	69748014	5894	*	LYZ
chr12	69753483	69784576	31094	*	YEATS4
chr12	69864129	69973562	109434	*	FRS2
chr12	69979114	69995350	16237	*	CCT2
chr12	70002351	70004942	2592	*	LRRC10
chr12	70037140	70093256	56117	*	BEST3
chr12	70132461	70216984	84524	*	RAB3IP
chr12	70219084	70352877	133794	*	MYRFL
chr12	121837844	121868389	30546	*	RNF34
chr12	121866900	122018920	152021	*	KDM2B
